kommunKod,forandringar,period,kon,tid,befolkningsstatistik_antal_personer
0114,100,hel,1+2,2022,49262
0115,100,hel,1+2,2022,34851
0117,100,hel,1+2,2022,49138
0120,100,hel,1+2,2022,46457
0123,100,hel,1+2,2022,85460
0125,100,hel,1+2,2022,29123
0126,100,hel,1+2,2022,114504
0127,100,hel,1+2,2022,95383
0128,100,hel,1+2,2022,17352
0136,100,hel,1+2,2022,97683
0138,100,hel,1+2,2022,49214
0139,100,hel,1+2,2022,31853
0140,100,hel,1+2,2022,11664
0160,100,hel,1+2,2022,75137
0162,100,hel,1+2,2022,32692
0163,100,hel,1+2,2022,76237
0180,100,hel,1+2,2022,984748
0181,100,hel,1+2,2022,102426
0182,100,hel,1+2,2022,109486
0183,100,hel,1+2,2022,54070
0184,100,hel,1+2,2022,85450
0186,100,hel,1+2,2022,48432
0187,100,hel,1+2,2022,11899
0188,100,hel,1+2,2022,65587
0191,100,hel,1+2,2022,51876
0192,100,hel,1+2,2022,30043
0305,100,hel,1+2,2022,22765
0319,100,hel,1+2,2022,9625
0330,100,hel,1+2,2022,20133
0331,100,hel,1+2,2022,14421
0360,100,hel,1+2,2022,21406
0380,100,hel,1+2,2022,242140
0381,100,hel,1+2,2022,47848
0382,100,hel,1+2,2022,22344
0428,100,hel,1+2,2022,8981
0461,100,hel,1+2,2022,11612
0480,100,hel,1+2,2022,58021
0481,100,hel,1+2,2022,12086
0482,100,hel,1+2,2022,16058
0483,100,hel,1+2,2022,34604
0484,100,hel,1+2,2022,107918
0486,100,hel,1+2,2022,38526
0488,100,hel,1+2,2022,14760
0509,100,hel,1+2,2022,5317
0512,100,hel,1+2,2022,3683
0513,100,hel,1+2,2022,10068
0560,100,hel,1+2,2022,5498
0561,100,hel,1+2,2022,11506
0562,100,hel,1+2,2022,21903
0563,100,hel,1+2,2022,7630
0580,100,hel,1+2,2022,166673
0581,100,hel,1+2,2022,145120
0582,100,hel,1+2,2022,14834
0583,100,hel,1+2,2022,43728
0584,100,hel,1+2,2022,7481
