kommunKod,alder,kon,manad,"folkmangdePerManad, antal"
0114,15-19,1,2022M01,1538
0114,15-19,1,2022M02,1541
0114,15-19,1,2022M03,1545
0114,15-19,1,2022M04,1546
0114,15-19,1,2022M05,1545
0114,15-19,1,2022M06,1545
0114,15-19,1,2022M07,1546
0114,15-19,1,2022M08,1538
0114,15-19,1,2022M09,1540
0114,15-19,1,2022M10,1537
0114,15-19,1,2022M11,1533
0114,15-19,1,2022M12,1534
0114,15-19,2,2022M01,1388
0114,15-19,2,2022M02,1393
0114,15-19,2,2022M03,1399
0114,15-19,2,2022M04,1402
0114,15-19,2,2022M05,1397
0114,15-19,2,2022M06,1400
0114,15-19,2,2022M07,1398
0114,15-19,2,2022M08,1393
0114,15-19,2,2022M09,1404
0114,15-19,2,2022M10,1398
0114,15-19,2,2022M11,1403
0114,15-19,2,2022M12,1407
0114,20-24,1,2022M01,1364
0114,20-24,1,2022M02,1379
0114,20-24,1,2022M03,1386
0114,20-24,1,2022M04,1395
0114,20-24,1,2022M05,1399
0114,20-24,1,2022M06,1417
0114,20-24,1,2022M07,1407
0114,20-24,1,2022M08,1398
0114,20-24,1,2022M09,1388
0114,20-24,1,2022M10,1396
0114,20-24,1,2022M11,1402
0114,20-24,1,2022M12,1408
0114,20-24,2,2022M01,1181
0114,20-24,2,2022M02,1191
0114,20-24,2,2022M03,1199
0114,20-24,2,2022M04,1196
0114,20-24,2,2022M05,1201
0114,20-24,2,2022M06,1211
0114,20-24,2,2022M07,1205
0114,20-24,2,2022M08,1187
0114,20-24,2,2022M09,1192
0114,20-24,2,2022M10,1185
0114,20-24,2,2022M11,1198
0114,20-24,2,2022M12,1209
0114,25-29,1,2022M01,1470
0114,25-29,1,2022M02,1490
0114,25-29,1,2022M03,1498
0114,25-29,1,2022M04,1497
0114,25-29,1,2022M05,1495
0114,25-29,1,2022M06,1503
0114,25-29,1,2022M07,1508
0114,25-29,1,2022M08,1507
0114,25-29,1,2022M09,1527
0114,25-29,1,2022M10,1542
0114,25-29,1,2022M11,1551
0114,25-29,1,2022M12,1554
0114,25-29,2,2022M01,1403
0114,25-29,2,2022M02,1407
0114,25-29,2,2022M03,1418
0114,25-29,2,2022M04,1436
0114,25-29,2,2022M05,1429
0114,25-29,2,2022M06,1438
0114,25-29,2,2022M07,1450
0114,25-29,2,2022M08,1448
0114,25-29,2,2022M09,1449
0114,25-29,2,2022M10,1460
0114,25-29,2,2022M11,1471
0114,25-29,2,2022M12,1479
0114,30-34,1,2022M01,1736
0114,30-34,1,2022M02,1750
0114,30-34,1,2022M03,1758
0114,30-34,1,2022M04,1759
0114,30-34,1,2022M05,1780
0114,30-34,1,2022M06,1782
0114,30-34,1,2022M07,1791
0114,30-34,1,2022M08,1795
0114,30-34,1,2022M09,1804
0114,30-34,1,2022M10,1822
0114,30-34,1,2022M11,1841
0114,30-34,1,2022M12,1836
0114,30-34,2,2022M01,1749
0114,30-34,2,2022M02,1766
0114,30-34,2,2022M03,1778
0114,30-34,2,2022M04,1782
0114,30-34,2,2022M05,1794
0114,30-34,2,2022M06,1810
0114,30-34,2,2022M07,1835
0114,30-34,2,2022M08,1837
0114,30-34,2,2022M09,1849
0114,30-34,2,2022M10,1850
0114,30-34,2,2022M11,1864
0114,30-34,2,2022M12,1870
0114,35-39,1,2022M01,1903
0114,35-39,1,2022M02,1905
0114,35-39,1,2022M03,1916
0114,35-39,1,2022M04,1929
0114,35-39,1,2022M05,1931
0114,35-39,1,2022M06,1936
0114,35-39,1,2022M07,1945
0114,35-39,1,2022M08,1959
0114,35-39,1,2022M09,1964
0114,35-39,1,2022M10,1969
0114,35-39,1,2022M11,1982
0114,35-39,1,2022M12,1993
0114,35-39,2,2022M01,1799
0114,35-39,2,2022M02,1808
0114,35-39,2,2022M03,1806
0114,35-39,2,2022M04,1808
0114,35-39,2,2022M05,1802
0114,35-39,2,2022M06,1804
0114,35-39,2,2022M07,1809
0114,35-39,2,2022M08,1812
0114,35-39,2,2022M09,1823
0114,35-39,2,2022M10,1826
0114,35-39,2,2022M11,1834
0114,35-39,2,2022M12,1850
0114,40-44,1,2022M01,1843
0114,40-44,1,2022M02,1848
0114,40-44,1,2022M03,1859
0114,40-44,1,2022M04,1871
0114,40-44,1,2022M05,1867
0114,40-44,1,2022M06,1876
0114,40-44,1,2022M07,1867
0114,40-44,1,2022M08,1866
0114,40-44,1,2022M09,1880
0114,40-44,1,2022M10,1877
0114,40-44,1,2022M11,1885
0114,40-44,1,2022M12,1891
0114,40-44,2,2022M01,1668
0114,40-44,2,2022M02,1674
0114,40-44,2,2022M03,1684
0114,40-44,2,2022M04,1689
0114,40-44,2,2022M05,1696
0114,40-44,2,2022M06,1701
0114,40-44,2,2022M07,1701
0114,40-44,2,2022M08,1697
0114,40-44,2,2022M09,1702
0114,40-44,2,2022M10,1699
0114,40-44,2,2022M11,1696
0114,40-44,2,2022M12,1694
0114,45-49,1,2022M01,1730
0114,45-49,1,2022M02,1739
0114,45-49,1,2022M03,1744
0114,45-49,1,2022M04,1738
0114,45-49,1,2022M05,1742
0114,45-49,1,2022M06,1742
0114,45-49,1,2022M07,1744
0114,45-49,1,2022M08,1741
0114,45-49,1,2022M09,1746
0114,45-49,1,2022M10,1744
0114,45-49,1,2022M11,1742
0114,45-49,1,2022M12,1747
0114,45-49,2,2022M01,1637
0114,45-49,2,2022M02,1635
0114,45-49,2,2022M03,1630
0114,45-49,2,2022M04,1632
0114,45-49,2,2022M05,1630
0114,45-49,2,2022M06,1627
0114,45-49,2,2022M07,1626
0114,45-49,2,2022M08,1628
0114,45-49,2,2022M09,1623
0114,45-49,2,2022M10,1627
0114,45-49,2,2022M11,1623
0114,45-49,2,2022M12,1623
0114,50-54,1,2022M01,1638
0114,50-54,1,2022M02,1642
0114,50-54,1,2022M03,1646
0114,50-54,1,2022M04,1649
0114,50-54,1,2022M05,1650
0114,50-54,1,2022M06,1651
0114,50-54,1,2022M07,1662
0114,50-54,1,2022M08,1659
0114,50-54,1,2022M09,1653
0114,50-54,1,2022M10,1653
0114,50-54,1,2022M11,1658
0114,50-54,1,2022M12,1665
0114,50-54,2,2022M01,1609
0114,50-54,2,2022M02,1613
0114,50-54,2,2022M03,1612
0114,50-54,2,2022M04,1614
0114,50-54,2,2022M05,1609
0114,50-54,2,2022M06,1606
0114,50-54,2,2022M07,1607
0114,50-54,2,2022M08,1613
0114,50-54,2,2022M09,1613
0114,50-54,2,2022M10,1614
0114,50-54,2,2022M11,1618
0114,50-54,2,2022M12,1620
0114,55-59,1,2022M01,1597
0114,55-59,1,2022M02,1598
0114,55-59,1,2022M03,1607
0114,55-59,1,2022M04,1609
0114,55-59,1,2022M05,1604
0114,55-59,1,2022M06,1603
0114,55-59,1,2022M07,1605
0114,55-59,1,2022M08,1603
0114,55-59,1,2022M09,1604
0114,55-59,1,2022M10,1604
0114,55-59,1,2022M11,1604
0114,55-59,1,2022M12,1607
0114,55-59,2,2022M01,1470
0114,55-59,2,2022M02,1472
0114,55-59,2,2022M03,1474
0114,55-59,2,2022M04,1472
0114,55-59,2,2022M05,1473
0114,55-59,2,2022M06,1472
0114,55-59,2,2022M07,1470
0114,55-59,2,2022M08,1473
0114,55-59,2,2022M09,1470
0114,55-59,2,2022M10,1468
0114,55-59,2,2022M11,1471
0114,55-59,2,2022M12,1470
0114,60-64,1,2022M01,1172
0114,60-64,1,2022M02,1177
0114,60-64,1,2022M03,1179
0114,60-64,1,2022M04,1181
0114,60-64,1,2022M05,1180
0114,60-64,1,2022M06,1172
0114,60-64,1,2022M07,1173
0114,60-64,1,2022M08,1170
0114,60-64,1,2022M09,1174
0114,60-64,1,2022M10,1176
0114,60-64,1,2022M11,1177
0114,60-64,1,2022M12,1179
0114,60-64,2,2022M01,1154
0114,60-64,2,2022M02,1155
0114,60-64,2,2022M03,1150
0114,60-64,2,2022M04,1149
0114,60-64,2,2022M05,1151
0114,60-64,2,2022M06,1145
0114,60-64,2,2022M07,1143
0114,60-64,2,2022M08,1139
0114,60-64,2,2022M09,1132
0114,60-64,2,2022M10,1127
0114,60-64,2,2022M11,1125
0114,60-64,2,2022M12,1130
0114,65-69,1,2022M01,950
0114,65-69,1,2022M02,952
0114,65-69,1,2022M03,953
0114,65-69,1,2022M04,954
0114,65-69,1,2022M05,959
0114,65-69,1,2022M06,961
0114,65-69,1,2022M07,956
0114,65-69,1,2022M08,952
0114,65-69,1,2022M09,952
0114,65-69,1,2022M10,951
0114,65-69,1,2022M11,951
0114,65-69,1,2022M12,950
0114,65-69,2,2022M01,983
0114,65-69,2,2022M02,980
0114,65-69,2,2022M03,984
0114,65-69,2,2022M04,982
0114,65-69,2,2022M05,982
0114,65-69,2,2022M06,980
0114,65-69,2,2022M07,979
0114,65-69,2,2022M08,979
0114,65-69,2,2022M09,979
0114,65-69,2,2022M10,979
0114,65-69,2,2022M11,978
0114,65-69,2,2022M12,972
0114,70-74,1,2022M01,881
0114,70-74,1,2022M02,880
0114,70-74,1,2022M03,879
0114,70-74,1,2022M04,880
0114,70-74,1,2022M05,879
0114,70-74,1,2022M06,879
0114,70-74,1,2022M07,878
0114,70-74,1,2022M08,880
0114,70-74,1,2022M09,880
0114,70-74,1,2022M10,882
0114,70-74,1,2022M11,881
0114,70-74,1,2022M12,879
0114,70-74,2,2022M01,1097
0114,70-74,2,2022M02,1095
0114,70-74,2,2022M03,1097
0114,70-74,2,2022M04,1096
0114,70-74,2,2022M05,1097
0114,70-74,2,2022M06,1095
0114,70-74,2,2022M07,1094
0114,70-74,2,2022M08,1093
0114,70-74,2,2022M09,1090
0114,70-74,2,2022M10,1090
0114,70-74,2,2022M11,1086
0114,70-74,2,2022M12,1085
0115,15-19,1,2022M01,1291
0115,15-19,1,2022M02,1286
0115,15-19,1,2022M03,1288
0115,15-19,1,2022M04,1287
0115,15-19,1,2022M05,1288
0115,15-19,1,2022M06,1287
0115,15-19,1,2022M07,1285
0115,15-19,1,2022M08,1280
0115,15-19,1,2022M09,1280
0115,15-19,1,2022M10,1281
0115,15-19,1,2022M11,1281
0115,15-19,1,2022M12,1284
0115,15-19,2,2022M01,1183
0115,15-19,2,2022M02,1187
0115,15-19,2,2022M03,1187
0115,15-19,2,2022M04,1188
0115,15-19,2,2022M05,1189
0115,15-19,2,2022M06,1183
0115,15-19,2,2022M07,1185
0115,15-19,2,2022M08,1179
0115,15-19,2,2022M09,1169
0115,15-19,2,2022M10,1164
0115,15-19,2,2022M11,1163
0115,15-19,2,2022M12,1165
0115,20-24,1,2022M01,938
0115,20-24,1,2022M02,933
0115,20-24,1,2022M03,940
0115,20-24,1,2022M04,939
0115,20-24,1,2022M05,942
0115,20-24,1,2022M06,944
0115,20-24,1,2022M07,941
0115,20-24,1,2022M08,923
0115,20-24,1,2022M09,918
0115,20-24,1,2022M10,907
0115,20-24,1,2022M11,899
0115,20-24,1,2022M12,896
0115,20-24,2,2022M01,773
0115,20-24,2,2022M02,768
0115,20-24,2,2022M03,765
0115,20-24,2,2022M04,764
0115,20-24,2,2022M05,768
0115,20-24,2,2022M06,767
0115,20-24,2,2022M07,767
0115,20-24,2,2022M08,744
0115,20-24,2,2022M09,740
0115,20-24,2,2022M10,730
0115,20-24,2,2022M11,729
0115,20-24,2,2022M12,736
0115,25-29,1,2022M01,832
0115,25-29,1,2022M02,832
0115,25-29,1,2022M03,839
0115,25-29,1,2022M04,836
0115,25-29,1,2022M05,844
0115,25-29,1,2022M06,850
0115,25-29,1,2022M07,853
0115,25-29,1,2022M08,859
0115,25-29,1,2022M09,854
0115,25-29,1,2022M10,847
0115,25-29,1,2022M11,842
0115,25-29,1,2022M12,849
0115,25-29,2,2022M01,669
0115,25-29,2,2022M02,672
0115,25-29,2,2022M03,677
0115,25-29,2,2022M04,681
0115,25-29,2,2022M05,689
0115,25-29,2,2022M06,703
0115,25-29,2,2022M07,706
0115,25-29,2,2022M08,716
0115,25-29,2,2022M09,712
0115,25-29,2,2022M10,715
0115,25-29,2,2022M11,708
0115,25-29,2,2022M12,718
0115,30-34,1,2022M01,1004
0115,30-34,1,2022M02,1005
0115,30-34,1,2022M03,1011
0115,30-34,1,2022M04,1026
0115,30-34,1,2022M05,1038
0115,30-34,1,2022M06,1049
0115,30-34,1,2022M07,1063
0115,30-34,1,2022M08,1079
0115,30-34,1,2022M09,1092
0115,30-34,1,2022M10,1104
0115,30-34,1,2022M11,1113
0115,30-34,1,2022M12,1124
0115,30-34,2,2022M01,990
0115,30-34,2,2022M02,994
0115,30-34,2,2022M03,1000
0115,30-34,2,2022M04,1008
0115,30-34,2,2022M05,1016
0115,30-34,2,2022M06,1027
0115,30-34,2,2022M07,1033
0115,30-34,2,2022M08,1030
0115,30-34,2,2022M09,1044
0115,30-34,2,2022M10,1054
0115,30-34,2,2022M11,1062
0115,30-34,2,2022M12,1063
0115,35-39,1,2022M01,1072
