kommunKod,utbildningsNiva,kon,ar,antal
0114,1,1,2018,617
0114,1,1,2019,629
0114,1,1,2020,574
0114,1,1,2021,540
0114,1,1,2022,532
0114,1,2,2018,593
0114,1,2,2019,583
0114,1,2,2020,547
0114,1,2,2021,541
0114,1,2,2022,516
0114,2,1,2018,2739                             
0114,2,1,2019,2792
0114,2,1,2020,2765
0114,2,1,2021,2797
0114,2,1,2022,2836
0114,2,2,2018,1936
0114,2,2,2019,1973
0114,2,2,2020,1974
0114,2,2,2021,1955
0114,2,2,2022,1946
0114,3,1,2018,3299
0114,3,1,2019,3320
0114,3,1,2020,3293
0114,3,1,2021,3259
0114,3,1,2022,3267
0114,3,2,2018,3242
0114,3,2,2019,3141
0114,3,2,2020,3051
0114,3,2,2021,3014
0114,3,2,2022,2930
0114,4,1,2018,4243
0114,4,1,2019,4331
0114,4,1,2020,4374
0114,4,1,2021,4417
0114,4,1,2022,4492
0114,4,2,2018,3855
0114,4,2,2019,3968
0114,4,2,2020,3939
0114,4,2,2021,3941
0114,4,2,2022,3998
0114,5,1,2018,2363
0114,5,1,2019,2442
0114,5,1,2020,2519
0114,5,1,2021,2562
0114,5,1,2022,2755
0114,5,2,2018,2455
0114,5,2,2019,2479
0114,5,2,2020,2523
0114,5,2,2021,2561
0114,5,2,2022,2676
0114,6,1,2018,2518
0114,6,1,2019,2659
0114,6,1,2020,2748
0114,6,1,2021,2824
0114,6,1,2022,3055
0114,6,2,2018,3678
0114,6,2,2019,3918
0114,6,2,2020,4050
0114,6,2,2021,4199
0114,6,2,2022,4421
0114,7,1,2018,166
0114,7,1,2019,176
0114,7,1,2020,172
0114,7,1,2021,172
0114,7,1,2022,191
0114,7,2,2018,108
0114,7,2,2019,110
0114,7,2,2020,111
0114,7,2,2021,111
0114,7,2,2022,132
0114,US,1,2018,685
0114,US,1,2019,748
0114,US,1,2020,702
0114,US,1,2021,753
0114,US,1,2022,795
0114,US,2,2018,406
0114,US,2,2019,455
0114,US,2,2020,417
0114,US,2,2021,459
0114,US,2,2022,490
0115,1,1,2018,230
0115,1,1,2019,214
0115,1,1,2020,200
0115,1,1,2021,177
0115,1,1,2022,168
0115,1,2,2018,217
0115,1,2,2019,209
0115,1,2,2020,180
0115,1,2,2021,170
0115,1,2,2022,160
0115,2,1,2018,1808
0115,2,1,2019,1819
0115,2,1,2020,1838
0115,2,1,2021,1810
0115,2,1,2022,1837
0115,2,2,2018,1320
0115,2,2,2019,1341
0115,2,2,2020,1344
0115,2,2,2021,1365
0115,2,2,2022,1344
0115,3,1,2018,2122
0115,3,1,2019,2088
0115,3,1,2020,2054
0115,3,1,2021,2010
0115,3,1,2022,1978
0115,3,2,2018,2032
0115,3,2,2019,1986
0115,3,2,2020,1901
0115,3,2,2021,1806
0115,3,2,2022,1745
0115,4,1,2018,3257
0115,4,1,2019,3374
0115,4,1,2020,3371
0115,4,1,2021,3420
0115,4,1,2022,3472
0115,4,2,2018,2749
0115,4,2,2019,2754
0115,4,2,2020,2771
0115,4,2,2021,2718
0115,4,2,2022,2753
0115,5,1,2018,1736
0115,5,1,2019,1783
0115,5,1,2020,1783
0115,5,1,2021,1813
0115,5,1,2022,1918
0115,5,2,2018,1794
0115,5,2,2019,1820
0115,5,2,2020,1813
0115,5,2,2021,1851
0115,5,2,2022,1914
0115,6,1,2018,2055
0115,6,1,2019,2131
0115,6,1,2020,2175
0115,6,1,2021,2254
0115,6,1,2022,2371
0115,6,2,2018,3090
0115,6,2,2019,3208
0115,6,2,2020,3324
0115,6,2,2021,3450
0115,6,2,2022,3602
0115,7,1,2018,188
0115,7,1,2019,198
0115,7,1,2020,201
0115,7,1,2021,209
0115,7,1,2022,216
0115,7,2,2018,124
0115,7,2,2019,135
0115,7,2,2020,151
0115,7,2,2021,151
0115,7,2,2022,150
0115,US,1,2018,398
0115,US,1,2019,433
0115,US,1,2020,418
0115,US,1,2021,454
0115,US,1,2022,468
0115,US,2,2018,207
0115,US,2,2019,230
0115,US,2,2020,213
0115,US,2,2021,213
0115,US,2,2022,223
0117,1,1,2018,285
0117,1,1,2019,250
0117,1,1,2020,226
0117,1,1,2021,210
0117,1,1,2022,193
0117,1,2,2018,257
0117,1,2,2019,240
0117,1,2,2020,214
0117,1,2,2021,197
0117,1,2,2022,194
0117,2,1,2018,2482
0117,2,1,2019,2562
0117,2,1,2020,2623
0117,2,1,2021,2604
0117,2,1,2022,2575
0117,2,2,2018,1821
0117,2,2,2019,1843
0117,2,2,2020,1876
0117,2,2,2021,1909
0117,2,2,2022,1932
0117,3,1,2018,3141
0117,3,1,2019,3128
0117,3,1,2020,3114
0117,3,1,2021,3069
0117,3,1,2022,3027
0117,3,2,2018,2832
0117,3,2,2019,2749
0117,3,2,2020,2691
0117,3,2,2021,2628
0117,3,2,2022,2536
0117,4,1,2018,4348
0117,4,1,2019,4423
0117,4,1,2020,4556
0117,4,1,2021,4714
0117,4,1,2022,4810
0117,4,2,2018,3692
0117,4,2,2019,3768
0117,4,2,2020,3859
0117,4,2,2021,3899
0117,4,2,2022,3914
0117,5,1,2018,2351
0117,5,1,2019,2408
0117,5,1,2020,2484
0117,5,1,2021,2621
0117,5,1,2022,2728
0117,5,2,2018,2453
0117,5,2,2019,2459
0117,5,2,2020,2528
0117,5,2,2021,2617
0117,5,2,2022,2748
0117,6,1,2018,2605
0117,6,1,2019,2689
0117,6,1,2020,2799
0117,6,1,2021,2995
0117,6,1,2022,3157
